Event_ID,Product_ID,Submission_ID,Lifecycle_Stage,Stage_Order,Stage_Start_Date,Stage_End_Date,Stage_Duration_Days,Event_Status
969655,102191,511610,Development,1,2022-12-10,2023-05-01,142.1,Completed
969656,102191,511610,Submission Preparation,2,2023-05-01,2023-05-28,27.9,Completed
969657,102191,511610,Regulatory Submission,3,2023-05-29,2023-06-06,8.6,Completed
969658,102191,511610,Regulatory Review,4,2023-06-06,2023-07-30,54.0,Completed
969659,102191,511610,Approval,5,2023-07-30,2023-08-13,14.3,In Progress
969660,102191,511610,Post-Market Monitoring,6,2023-08-13,2023-11-08,87.8,In Progress
969661,114047,511611,Development,1,2023-10-26,2024-03-17,143.1,Completed
969662,114047,511611,Submission Preparation,2,2024-03-17,2024-04-11,25.6,Completed
969663,114047,511611,Regulatory Submission,3,2024-04-11,2024-05-03,22.8,Completed
969664,114047,511611,Regulatory Review,4,2024-05-04,2024-07-06,63.5,Completed
969665,114047,511611,Approval,5,2024-07-07,2024-07-25,18.6,Completed
969666,114047,511611,Post-Market Monitoring,6,2024-07-25,2024-10-21,88.8,Completed
969667,113384,511612,Development,1,2023-09-28,2024-01-10,104.2,Completed
969668,113384,511612,Submission Preparation,2,2024-01-10,2024-03-01,51.6,Completed
969669,113384,511612,Regulatory Submission,3,2024-03-01,2024-03-12,11.1,Completed
969670,113384,511612,Regulatory Review,4,2024-03-12,2024-06-30,110.8,Completed
969671,113384,511612,Approval,5,2024-07-01,2024-07-11,10.3,In Progress
969672,113384,511612,Post-Market Monitoring,6,2024-07-12,2024-10-28,108.6,In Progress
969673,113507,511613,Development,1,2022-01-18,2022-04-20,92.4,Completed
969674,113507,511613,Submission Preparation,2,2022-04-20,2022-06-15,56.3,Completed
969675,113507,511613,Regulatory Submission,3,2022-06-15,2022-07-01,16.7,Completed
969676,113507,511613,Regulatory Review,4,2022-07-02,2022-09-26,86.8,Completed
969677,113507,511613,Approval,5,2022-09-27,2022-10-13,16.3,Completed
969678,113507,511613,Post-Market Monitoring,6,2022-10-13,2023-01-26,105.3,Completed
969679,114996,511614,Development,1,2022-02-23,2022-08-14,172.9,Completed
969680,114996,511614,Submission Preparation,2,2022-08-14,2022-09-25,42.3,Completed
969681,114996,511614,Regulatory Submission,3,2022-09-26,2022-10-08,12.6,Completed
969682,114996,511614,Regulatory Review,4,2022-10-08,2022-11-25,48.7,Completed
969683,114996,511614,Approval,5,2022-11-26,2022-12-19,23.4,In Progress
969684,114996,511614,Post-Market Monitoring,6,2022-12-19,2023-04-18,120.7,In Progress
969685,112949,511615,Development,1,2022-08-19,2023-02-05,170.1,Completed
969686,112949,511615,Submission Preparation,2,2023-02-05,2023-03-10,33.6,Completed
969687,112949,511615,Regulatory Submission,3,2023-03-10,2023-03-20,10.5,Completed
969688,112949,511615,Regulatory Review,4,2023-03-21,2023-05-30,70.1,Completed
969689,112949,511615,Approval,5,2023-05-30,2023-06-13,14.9,In Progress
969690,112949,511615,Post-Market Monitoring,6,2023-06-14,2023-09-16,94.4,In Progress
969691,102474,511616,Development,1,2022-06-15,2022-07-10,25.8,Completed
969692,102474,511616,Submission Preparation,2,2022-07-10,2022-08-31,52.2,Completed
969693,102474,511616,Regulatory Submission,3,2022-09-01,2022-09-09,8.2,Completed
969694,102474,511616,Regulatory Review,4,2022-09-09,2022-12-24,106.1,Completed
969695,102474,511616,Approval,5,2022-12-24,2023-01-03,10.7,Completed
969696,102474,511616,Post-Market Monitoring,6,2023-01-04,2023-03-11,66.7,Completed
969697,107035,511617,Development,1,2022-02-07,2022-07-07,150.9,Completed
969698,107035,511617,Submission Preparation,2,2022-07-07,2022-08-14,38.6,Completed
969699,107035,511617,Regulatory Submission,3,2022-08-15,2022-08-22,7.7,Completed
969700,107035,511617,Regulatory Review,4,2022-08-23,2022-12-14,113.1,Completed
969701,107035,511617,Approval,5,2022-12-14,2022-12-24,10.6,Completed
969702,107035,511617,Post-Market Monitoring,6,2022-12-24,2023-03-18,84.5,Completed
969703,105733,511618,Development,1,2023-07-12,2023-12-24,165.1,Completed
969704,105733,511618,Submission Preparation,2,2023-12-24,2024-02-14,52.0,Completed
969705,105733,511618,Regulatory Submission,3,2024-02-14,2024-02-17,3.5,Completed
969706,105733,511618,Regulatory Review,4,2024-02-17,2024-05-07,80.7,Completed
969707,105733,511618,Approval,5,2024-05-08,2024-05-23,15.9,In Progress
969708,105733,511618,Post-Market Monitoring,6,2024-05-24,2024-08-12,80.6,In Progress
969709,100142,511619,Development,1,2024-02-19,2024-05-20,91.2,Completed
969710,100142,511619,Submission Preparation,2,2024-05-20,2024-06-05,16.2,Completed
969711,100142,511619,Regulatory Submission,3,2024-06-05,2024-06-13,8.0,Completed
969712,100142,511619,Regulatory Review,4,2024-06-13,2024-08-16,64.1,Completed
969713,100142,511619,Approval,5,2024-08-16,2024-08-24,8.1,Completed
969714,100142,511619,Post-Market Monitoring,6,2024-08-24,2024-12-04,102.3,Completed
969715,103433,511620,Development,1,2024-02-05,2024-04-25,80.4,Completed
969716,103433,511620,Submission Preparation,2,2024-04-25,2024-06-01,37.3,Completed
969717,103433,511620,Regulatory Submission,3,2024-06-01,2024-06-09,8.6,Completed
969718,103433,511620,Regulatory Review,4,2024-06-10,2024-07-24,44.1,Completed
969719,103433,511620,Approval,5,2024-07-24,2024-07-30,6.5,Completed
969720,103433,511620,Post-Market Monitoring,6,2024-07-30,2025-01-03,157.3,Completed
969721,110545,511621,Development,1,2023-02-17,2023-06-07,110.9,Completed
969722,110545,511621,Submission Preparation,2,2023-06-07,2023-07-17,40.3,Completed
969723,110545,511621,Regulatory Submission,3,2023-07-18,2023-07-29,11.3,Completed
969724,110545,511621,Regulatory Review,4,2023-07-29,2023-09-28,61.9,Completed
969725,110545,511621,Approval,5,2023-09-29,2023-10-17,18.4,In Progress
969726,110545,511621,Post-Market Monitoring,6,2023-10-17,2024-01-23,98.8,In Progress
969727,103076,511622,Development,1,2023-01-07,2023-03-22,74.6,Completed
969728,103076,511622,Submission Preparation,2,2023-03-22,2023-05-15,54.7,Completed
969729,103076,511622,Regulatory Submission,3,2023-05-16,2023-05-22,6.1,Completed
969730,103076,511622,Regulatory Review,4,2023-05-22,2023-08-06,76.3,Completed
969731,103076,511622,Approval,5,2023-08-06,2023-08-19,13.7,Completed
969732,103076,511622,Post-Market Monitoring,6,2023-08-20,2023-12-11,113.2,Completed
969733,108976,511623,Development,1,2022-05-22,2022-09-30,131.6,Completed
969734,108976,511623,Submission Preparation,2,2022-09-30,2022-11-23,54.9,Completed
969735,108976,511623,Regulatory Submission,3,2022-11-24,2022-12-07,13.8,Completed
969736,108976,511623,Regulatory Review,4,2022-12-08,2023-03-18,100.4,Completed
969737,108976,511623,Approval,5,2023-03-18,2023-03-31,13.5,In Progress
969738,108976,511623,Post-Market Monitoring,6,2023-04-01,2023-07-29,119.4,In Progress
969739,110547,511624,Development,1,2024-07-23,2024-11-29,129.4,Completed
969740,110547,511624,Submission Preparation,2,2024-11-29,2025-01-05,37.3,Completed
969741,110547,511624,Regulatory Submission,3,2025-01-05,2025-01-13,8.9,Completed
969742,110547,511624,Regulatory Review,4,2025-01-14,2025-03-30,75.3,Completed
969743,110547,511624,Approval,5,2025-03-30,2025-04-16,17.1,In Progress
969744,110547,511624,Post-Market Monitoring,6,2025-04-17,2025-07-20,94.6,In Progress
969745,100042,511625,Development,1,2023-03-23,2023-05-30,68.4,Completed
969746,100042,511625,Submission Preparation,2,2023-05-30,2023-07-13,44.9,Completed
969747,100042,511625,Regulatory Submission,3,2023-07-14,2023-07-28,14.5,Completed
969748,100042,511625,Regulatory Review,4,2023-07-28,2023-09-19,53.7,Completed
969749,100042,511625,Approval,5,2023-09-20,2023-10-06,16.5,In Progress
969750,100042,511625,Post-Market Monitoring,6,2023-10-07,2024-01-14,99.7,In Progress
969751,114038,511626,Development,1,2024-12-03,2025-04-07,125.3,Completed
969752,114038,511626,Submission Preparation,2,2025-04-07,2025-05-21,44.0,Completed
969753,114038,511626,Regulatory Submission,3,2025-05-21,2025-06-06,16.3,Completed
969754,114038,511626,Regulatory Review,4,2025-06-06,2025-07-20,44.3,Completed
969755,114038,511626,Approval,5,2025-07-20,2025-08-10,21.0,Completed
969756,114038,511626,Post-Market Monitoring,6,2025-08-10,2025-09-24,45.8,Completed
969757,107059,511627,Development,1,2023-08-26,2024-01-06,133.3,Completed
969758,107059,511627,Submission Preparation,2,2024-01-06,2024-02-24,49.5,Completed
969759,107059,511627,Regulatory Submission,3,2024-02-24,2024-03-05,10.2,Completed
969760,107059,511627,Regulatory Review,4,2024-03-06,2024-05-19,74.6,Completed
969761,107059,511627,Approval,5,2024-05-19,2024-05-25,6.6,Completed
969762,107059,511627,Post-Market Monitoring,6,2024-05-26,2024-09-04,101.3,Completed
969763,105976,511628,Development,1,2024-08-07,2024-11-06,91.6,Completed
969764,105976,511628,Submission Preparation,2,2024-11-06,2024-12-20,44.3,Completed
969765,105976,511628,Regulatory Submission,3,2024-12-20,2024-12-31,11.5,Completed
969766,105976,511628,Regulatory Review,4,2025-01-01,2025-03-11,69.9,Completed
969767,105976,511628,Approval,5,2025-03-12,2025-03-25,13.3,Completed
969768,105976,511628,Post-Market Monitoring,6,2025-03-25,2025-06-27,94.2,Completed
969769,100207,511629,Development,1,2023-12-06,2024-05-20,166.8,Completed
969770,100207,511629,Submission Preparation,2,2024-05-20,2024-07-17,58.3,Completed
969771,100207,511629,Regulatory Submission,3,2024-07-18,2024-07-24,6.7,Completed
969772,100207,511629,Regulatory Review,4,2024-07-24,2024-11-16,115.2,Completed
969773,100207,511629,Approval,5,2024-11-17,2024-12-07,20.0,Completed
969774,100207,511629,Post-Market Monitoring,6,2024-12-07,2025-02-10,65.6,Completed
969775,112612,511630,Development,1,2024-08-12,2025-02-09,181.8,Completed
969776,112612,511630,Submission Preparation,2,2025-02-09,2025-03-20,39.1,Completed
969777,112612,511630,Regulatory Submission,3,2025-03-20,2025-03-30,10.5,Completed
969778,112612,511630,Regulatory Review,4,2025-03-31,2025-05-30,60.8,Completed
969779,112612,511630,Approval,5,2025-05-31,2025-06-22,22.8,In Progress
969780,112612,511630,Post-Market Monitoring,6,2025-06-23,2025-10-13,112.0,In Progress
969781,113399,511631,Development,1,2023-10-31,2024-02-07,99.3,Completed
969782,113399,511631,Submission Preparation,2,2024-02-07,2024-03-25,47.1,Completed
969783,113399,511631,Regulatory Submission,3,2024-03-25,2024-04-04,10.0,Completed
969784,113399,511631,Regulatory Review,4,2024-04-04,2024-06-20,77.5,Completed
969785,113399,511631,Approval,5,2024-06-20,2024-07-10,20.5,Completed
969786,113399,511631,Post-Market Monitoring,6,2024-07-11,2024-10-24,105.0,Completed
969787,113117,511632,Development,1,2024-01-04,2024-03-08,64.7,Completed
969788,113117,511632,Submission Preparation,2,2024-03-08,2024-04-12,35.6,Completed
969789,113117,511632,Regulatory Submission,3,2024-04-13,2024-04-21,8.4,Completed
969790,113117,511632,Regulatory Review,4,2024-04-21,2024-07-23,93.4,Completed
969791,113117,511632,Approval,5,2024-07-24,2024-08-16,23.1,In Progress
969792,113117,511632,Post-Market Monitoring,6,2024-08-16,2024-11-08,84.2,In Progress
969793,108740,511633,Development,1,2023-01-04,2023-04-12,98.7,Completed
969794,108740,511633,Submission Preparation,2,2023-04-12,2023-05-25,43.7,Completed
969795,108740,511633,Regulatory Submission,3,2023-05-26,2023-06-10,15.7,Completed
969796,108740,511633,Regulatory Review,4,2023-06-11,2023-08-18,68.0,Completed
969797,108740,511633,Approval,5,2023-08-18,2023-08-29,11.2,Completed
969798,108740,511633,Post-Market Monitoring,6,2023-08-29,2023-11-05,68.5,Completed
969799,110321,511634,Development,1,2022-05-07,2022-10-10,156.8,Completed
969800,110321,511634,Submission Preparation,2,2022-10-10,2022-11-26,47.7,Completed
969801,110321,511634,Regulatory Submission,3,2022-11-27,2022-12-12,15.5,Completed
969802,110321,511634,Regulatory Review,4,2022-12-13,2023-02-19,68.1,Completed
969803,110321,511634,Approval,5,2023-02-19,2023-03-07,16.2,In Progress
969804,110321,511634,Post-Market Monitoring,6,2023-03-07,2023-07-25,140.4,In Progress
969805,112459,511635,Development,1,2023-01-21,2023-06-29,159.1,Completed
969806,112459,511635,Submission Preparation,2,2023-06-29,2023-08-17,49.9,Completed
969807,112459,511635,Regulatory Submission,3,2023-08-18,2023-09-03,16.0,Completed
969808,112459,511635,Regulatory Review,4,2023-09-03,2023-12-13,101.4,Completed
969809,112459,511635,Approval,5,2023-12-13,2024-01-02,20.5,In Progress
969810,112459,511635,Post-Market Monitoring,6,2024-01-02,2024-03-18,76.6,In Progress
969811,111687,511636,Development,1,2023-03-22,2023-06-20,90.2,Completed
969812,111687,511636,Submission Preparation,2,2023-06-20,2023-08-29,70.6,Completed
969813,111687,511636,Regulatory Submission,3,2023-08-29,2023-09-14,16.3,Completed
969814,111687,511636,Regulatory Review,4,2023-09-15,2023-12-06,82.7,Completed
969815,111687,511636,Approval,5,2023-12-06,2023-12-14,8.8,In Progress
969816,111687,511636,Post-Market Monitoring,6,2023-12-15,2024-02-20,67.3,In Progress
969817,107400,511637,Development,1,2023-05-17,2023-10-05,141.9,Completed
969818,107400,511637,Submission Preparation,2,2023-10-05,2023-11-22,48.1,Completed
969819,107400,511637,Regulatory Submission,3,2023-11-23,2023-11-27,4.0,Completed
969820,107400,511637,Regulatory Review,4,2023-11-27,2024-02-21,86.4,Completed
969821,107400,511637,Approval,5,2024-02-21,2024-03-09,17.5,Completed
969822,107400,511637,Post-Market Monitoring,6,2024-03-09,2024-07-08,121.3,Completed
969823,101345,511638,Development,1,2024-10-03,2025-01-23,112.2,Completed
969824,101345,511638,Submission Preparation,2,2025-01-23,2025-03-18,54.6,Completed
969825,101345,511638,Regulatory Submission,3,2025-03-18,2025-03-29,11.3,Completed
969826,101345,511638,Regulatory Review,4,2025-03-30,2025-06-23,85.7,Completed
969827,101345,511638,Approval,5,2025-06-23,2025-07-12,19.4,In Progress
969828,101345,511638,Post-Market Monitoring,6,2025-07-13,2025-10-22,101.3,In Progress
969829,106053,511639,Development,1,2024-11-13,2025-03-03,110.9,Completed
969830,106053,511639,Submission Preparation,2,2025-03-03,2025-04-21,49.1,Completed
969831,106053,511639,Regulatory Submission,3,2025-04-22,2025-04-30,8.3,Completed
969832,106053,511639,Regulatory Review,4,2025-04-30,2025-06-09,40.0,Completed
969833,106053,511639,Approval,5,2025-06-09,2025-06-24,15.4,In Progress
969834,106053,511639,Post-Market Monitoring,6,2025-06-24,2025-09-10,78.2,In Progress
969835,111867,511640,Development,1,2023-05-31,2023-10-31,153.1,Completed
969836,111867,511640,Submission Preparation,2,2023-10-31,2023-12-16,46.2,Completed
969837,111867,511640,Regulatory Submission,3,2023-12-16,2023-12-26,10.2,Completed
969838,111867,511640,Regulatory Review,4,2023-12-26,2024-04-03,99.7,Completed
969839,111867,511640,Approval,5,2024-04-04,2024-04-18,14.6,Completed
969840,111867,511640,Post-Market Monitoring,6,2024-04-18,2024-08-07,111.0,Completed
969841,114527,511641,Development,1,2024-03-22,2024-05-15,54.9,Completed
969842,114527,511641,Submission Preparation,2,2024-05-15,2024-07-02,48.7,Completed
969843,114527,511641,Regulatory Submission,3,2024-07-03,2024-07-10,7.4,Completed
969844,114527,511641,Regulatory Review,4,2024-07-11,2024-10-13,94.1,Completed
969845,114527,511641,Approval,5,2024-10-13,2024-10-22,9.5,In Progress
969846,114527,511641,Post-Market Monitoring,6,2024-10-22,2025-01-31,101.9,In Progress
969847,102246,511642,Development,1,2022-02-24,2022-06-05,101.6,Completed
969848,102246,511642,Submission Preparation,2,2022-06-05,2022-07-18,43.2,Completed
969849,102246,511642,Regulatory Submission,3,2022-07-18,2022-07-26,8.9,Completed
969850,102246,511642,Regulatory Review,4,2022-07-27,2022-11-02,98.4,Completed
969851,102246,511642,Approval,5,2022-11-03,2022-11-20,17.6,Completed
969852,102246,511642,Post-Market Monitoring,6,2022-11-20,2023-02-12,84.8,Completed
969853,112812,511643,Development,1,2023-12-05,2024-05-15,162.2,Completed
969854,112812,511643,Submission Preparation,2,2024-05-15,2024-06-18,34.9,Completed
969855,112812,511643,Regulatory Submission,3,2024-06-19,2024-07-05,16.1,Completed
969856,112812,511643,Regulatory Review,4,2024-07-05,2024-10-17,104.9,Completed
969857,112812,511643,Approval,5,2024-10-18,2024-11-03,16.6,In Progress
969858,112812,511643,Post-Market Monitoring,6,2024-11-03,2025-02-24,113.9,In Progress
969859,110866,511644,Development,1,2024-12-02,2025-03-25,113.1,Completed
969860,110866,511644,Submission Preparation,2,2025-03-25,2025-05-07,43.3,Completed
969861,110866,511644,Regulatory Submission,3,2025-05-07,2025-05-22,15.0,Completed
969862,110866,511644,Regulatory Review,4,2025-05-22,2025-09-10,111.6,Completed
969863,110866,511644,Approval,5,2025-09-11,2025-09-24,13.0,In Progress
969864,110866,511644,Post-Market Monitoring,6,2025-09-24,2025-11-25,62.9,In Progress
969865,105487,511645,Development,1,2023-08-23,2023-11-30,99.9,Completed
969866,105487,511645,Submission Preparation,2,2023-11-30,2024-01-16,47.8,Completed
969867,105487,511645,Regulatory Submission,3,2024-01-17,2024-02-02,16.8,Completed
969868,105487,511645,Regulatory Review,4,2024-02-03,2024-03-24,50.4,Completed
969869,105487,511645,Approval,5,2024-03-24,2024-04-08,15.8,Completed
969870,105487,511645,Post-Market Monitoring,6,2024-04-09,2024-07-13,95.5,Completed
969871,114338,511646,Development,1,2022-12-27,2023-05-18,142.4,Completed
969872,114338,511646,Submission Preparation,2,2023-05-18,2023-07-11,54.3,Completed
969873,114338,511646,Regulatory Submission,3,2023-07-11,2023-07-25,14.8,Completed
969874,114338,511646,Regulatory Review,4,2023-07-26,2023-09-21,57.9,Completed
969875,114338,511646,Approval,5,2023-09-22,2023-10-07,15.6,In Progress
969876,114338,511646,Post-Market Monitoring,6,2023-10-08,2023-12-17,70.9,In Progress
969877,100733,511647,Development,1,2023-09-03,2024-01-05,124.8,Completed
969878,100733,511647,Submission Preparation,2,2024-01-05,2024-02-17,43.6,Completed
969879,100733,511647,Regulatory Submission,3,2024-02-18,2024-03-04,15.3,Completed
969880,100733,511647,Regulatory Review,4,2024-03-04,2024-05-06,63.8,Completed
969881,100733,511647,Approval,5,2024-05-07,2024-05-24,17.7,In Progress
969882,100733,511647,Post-Market Monitoring,6,2024-05-25,2024-08-04,71.8,In Progress
969883,104269,511648,Development,1,2023-12-05,2024-03-10,96.9,Completed
969884,104269,511648,Submission Preparation,2,2024-03-10,2024-05-05,56.6,Completed
969885,104269,511648,Regulatory Submission,3,2024-05-06,2024-05-21,15.9,Completed
969886,104269,511648,Regulatory Review,4,2024-05-22,2024-09-02,103.7,Completed
969887,104269,511648,Approval,5,2024-09-03,2024-09-23,20.1,Completed
969888,104269,511648,Post-Market Monitoring,6,2024-09-23,2025-01-22,121.5,Completed
969889,101208,511649,Development,1,2024-12-16,2025-03-12,86.2,Completed
969890,101208,511649,Submission Preparation,2,2025-03-12,2025-04-22,41.4,Completed
969891,101208,511649,Regulatory Submission,3,2025-04-22,2025-04-30,8.3,Completed
969892,101208,511649,Regulatory Review,4,2025-04-30,2025-08-04,96.8,Completed
969893,101208,511649,Approval,5,2025-08-05,2025-08-14,9.7,In Progress
969894,101208,511649,Post-Market Monitoring,6,2025-08-15,2025-09-13,29.2,In Progress
969895,107202,511650,Development,1,2022-04-13,2022-09-25,165.6,Completed
969896,107202,511650,Submission Preparation,2,2022-09-25,2022-11-25,61.3,Completed
969897,107202,511650,Regulatory Submission,3,2022-11-25,2022-12-06,11.1,Completed
969898,107202,511650,Regulatory Review,4,2022-12-06,2023-02-24,80.6,Completed
969899,107202,511650,Approval,5,2023-02-25,2023-03-06,9.3,In Progress
969900,107202,511650,Post-Market Monitoring,6,2023-03-06,2023-04-29,54.5,In Progress
969901,111362,511651,Development,1,2023-09-12,2023-12-04,83.1,Completed
969902,111362,511651,Submission Preparation,2,2023-12-04,2024-01-23,50.7,Completed
969903,111362,511651,Regulatory Submission,3,2024-01-23,2024-02-03,11.7,Completed
969904,111362,511651,Regulatory Review,4,2024-02-04,2024-06-12,129.8,Completed
969905,111362,511651,Approval,5,2024-06-13,2024-06-28,15.0,In Progress
969906,111362,511651,Post-Market Monitoring,6,2024-06-28,2024-11-29,154.7,In Progress
969907,107072,511652,Development,1,2022-11-19,2023-02-19,92.0,Completed
969908,107072,511652,Submission Preparation,2,2023-02-19,2023-04-13,53.9,Completed
969909,107072,511652,Regulatory Submission,3,2023-04-13,2023-04-23,10.9,Completed
969910,107072,511652,Regulatory Review,4,2023-04-24,2023-05-27,33.1,Completed
969911,107072,511652,Approval,5,2023-05-27,2023-06-04,8.6,Completed
969912,107072,511652,Post-Market Monitoring,6,2023-06-05,2023-09-23,110.3,Completed
969913,105888,511653,Development,1,2023-08-27,2023-12-20,115.5,Completed
969914,105888,511653,Submission Preparation,2,2023-12-20,2024-01-29,40.5,Completed
969915,105888,511653,Regulatory Submission,3,2024-01-30,2024-02-19,20.3,Completed
969916,105888,511653,Regulatory Review,4,2024-02-19,2024-05-03,74.3,Completed
969917,105888,511653,Approval,5,2024-05-03,2024-05-19,16.8,In Progress
969918,105888,511653,Post-Market Monitoring,6,2024-05-20,2024-07-17,58.9,In Progress
969919,102844,511654,Development,1,2023-11-03,2024-03-12,130.0,Completed
969920,102844,511654,Submission Preparation,2,2024-03-12,2024-05-06,55.0,Completed
969921,102844,511654,Regulatory Submission,3,2024-05-06,2024-05-12,6.8,Completed
969922,102844,511654,Regulatory Review,4,2024-05-12,2024-08-10,90.1,Completed
969923,102844,511654,Approval,5,2024-08-10,2024-08-27,17.0,Completed
969924,102844,511654,Post-Market Monitoring,6,2024-08-27,2024-11-18,83.1,Completed
969925,105073,511655,Development,1,2024-04-26,2024-08-13,109.2,Completed
969926,105073,511655,Submission Preparation,2,2024-08-13,2024-09-28,46.0,Completed
969927,105073,511655,Regulatory Submission,3,2024-09-28,2024-10-09,11.4,Completed
969928,105073,511655,Regulatory Review,4,2024-10-09,2025-01-06,89.9,Completed
969929,105073,511655,Approval,5,2025-01-07,2025-01-16,9.5,Completed
969930,105073,511655,Post-Market Monitoring,6,2025-01-17,2025-04-07,80.8,Completed
969931,100283,511656,Development,1,2024-07-08,2024-11-17,132.8,Completed
969932,100283,511656,Submission Preparation,2,2024-11-17,2025-01-11,55.4,Completed
969933,100283,511656,Regulatory Submission,3,2025-01-12,2025-01-24,12.5,Completed
969934,100283,511656,Regulatory Review,4,2025-01-24,2025-05-07,103.0,Completed
969935,100283,511656,Approval,5,2025-05-07,2025-05-16,9.0,Completed
969936,100283,511656,Post-Market Monitoring,6,2025-05-16,2025-09-08,115.6,Completed
969937,108894,511657,Development,1,2022-04-05,2022-09-12,160.1,Completed
969938,108894,511657,Submission Preparation,2,2022-09-12,2022-11-04,53.8,Completed
969939,108894,511657,Regulatory Submission,3,2022-11-04,2022-11-12,8.9,Completed
969940,108894,511657,Regulatory Review,4,2022-11-13,2023-01-14,62.8,Completed
969941,108894,511657,Approval,5,2023-01-15,2023-02-05,21.8,Completed
969942,108894,511657,Post-Market Monitoring,6,2023-02-06,2023-06-08,122.9,Completed
969943,111445,511658,Development,1,2022-02-25,2022-06-23,118.5,Completed
969944,111445,511658,Submission Preparation,2,2022-06-23,2022-08-15,53.6,Completed
969945,111445,511658,Regulatory Submission,3,2022-08-16,2022-08-22,6.8,Completed
969946,111445,511658,Regulatory Review,4,2022-08-22,2022-12-06,106.9,Completed
969947,111445,511658,Approval,5,2022-12-07,2022-12-19,12.3,Completed
969948,111445,511658,Post-Market Monitoring,6,2022-12-20,2023-04-21,122.4,Completed
969949,110831,511659,Development,1,2023-11-02,2024-02-13,103.2,Completed
969950,110831,511659,Submission Preparation,2,2024-02-13,2024-03-19,35.8,Completed
969951,110831,511659,Regulatory Submission,3,2024-03-20,2024-03-29,9.2,Completed
969952,110831,511659,Regulatory Review,4,2024-03-29,2024-05-08,40.7,Completed
969953,110831,511659,Approval,5,2024-05-08,2024-05-12,4.7,Completed
969954,110831,511659,Post-Market Monitoring,6,2024-05-13,2024-09-01,111.7,Completed
969955,113365,511660,Development,1,2023-04-03,2023-07-11,99.3,Completed
969956,113365,511660,Submission Preparation,2,2023-07-11,2023-08-25,45.3,Completed
969957,113365,511660,Regulatory Submission,3,2023-08-25,2023-09-16,22.0,Completed
969958,113365,511660,Regulatory Review,4,2023-09-16,2023-10-19,33.1,Completed
969959,113365,511660,Approval,5,2023-10-19,2023-11-05,17.1,Completed
969960,113365,511660,Post-Market Monitoring,6,2023-11-05,2024-01-09,65.3,Completed
969961,106929,511661,Development,1,2023-07-04,2023-10-25,113.8,Completed
969962,106929,511661,Submission Preparation,2,2023-10-25,2023-11-29,35.9,Completed
969963,106929,511661,Regulatory Submission,3,2023-11-30,2023-12-07,7.1,Completed
969964,106929,511661,Regulatory Review,4,2023-12-07,2024-03-12,96.3,Completed
969965,106929,511661,Approval,5,2024-03-13,2024-03-27,14.6,Completed
969966,106929,511661,Post-Market Monitoring,6,2024-03-27,2024-06-20,85.5,Completed
969967,104026,511662,Development,1,2023-10-23,2024-04-16,176.1,Completed
969968,104026,511662,Submission Preparation,2,2024-04-16,2024-05-28,42.9,Completed
969969,104026,511662,Regulatory Submission,3,2024-05-29,2024-06-06,8.4,Completed
969970,104026,511662,Regulatory Review,4,2024-06-06,2024-10-09,125.0,Completed
969971,104026,511662,Approval,5,2024-10-09,2024-10-26,17.7,In Progress
969972,104026,511662,Post-Market Monitoring,6,2024-10-27,2025-03-18,142.5,In Progress
969973,107567,511663,Development,1,2024-12-06,2025-03-04,88.1,Completed
969974,107567,511663,Submission Preparation,2,2025-03-04,2025-04-22,49.1,Completed
969975,107567,511663,Regulatory Submission,3,2025-04-22,2025-04-30,8.8,Completed
969976,107567,511663,Regulatory Review,4,2025-05-01,2025-07-31,91.0,Completed
969977,107567,511663,Approval,5,2025-07-31,2025-08-16,16.6,Completed
969978,107567,511663,Post-Market Monitoring,6,2025-08-16,2025-11-23,99.6,Completed
969979,110087,511664,Development,1,2022-04-25,2022-08-30,127.2,Completed
969980,110087,511664,Submission Preparation,2,2022-08-30,2022-09-27,28.5,Completed
969981,110087,511664,Regulatory Submission,3,2022-09-27,2022-10-07,10.3,Completed
969982,110087,511664,Regulatory Review,4,2022-10-08,2022-12-13,66.1,Completed
969983,110087,511664,Approval,5,2022-12-13,2022-12-20,7.1,Completed
969984,110087,511664,Post-Market Monitoring,6,2022-12-20,2023-03-12,82.7,Completed
969985,110911,511665,Development,1,2022-10-08,2023-02-09,124.8,Completed
969986,110911,511665,Submission Preparation,2,2023-02-09,2023-03-26,45.4,Completed
969987,110911,511665,Regulatory Submission,3,2023-03-27,2023-04-02,6.7,Completed
969988,110911,511665,Regulatory Review,4,2023-04-02,2023-06-15,74.8,Completed
969989,110911,511665,Approval,5,2023-06-16,2023-06-28,12.6,In Progress
969990,110911,511665,Post-Market Monitoring,6,2023-06-29,2023-10-04,97.0,In Progress
969991,109181,511666,Development,1,2023-12-18,2024-03-28,101.5,Completed
969992,109181,511666,Submission Preparation,2,2024-03-28,2024-04-11,14.8,Completed
969993,109181,511666,Regulatory Submission,3,2024-04-12,2024-04-21,9.4,Completed
969994,109181,511666,Regulatory Review,4,2024-04-21,2024-07-02,72.9,Completed
969995,109181,511666,Approval,5,2024-07-03,2024-07-07,4.4,Completed
969996,109181,511666,Post-Market Monitoring,6,2024-07-08,2024-09-16,70.2,Completed
969997,102511,511667,Development,1,2024-06-12,2024-11-09,150.6,Completed
969998,102511,511667,Submission Preparation,2,2024-11-09,2025-01-03,55.2,Completed
969999,102511,511667,Regulatory Submission,3,2025-01-03,2025-01-14,11.6,Completed
